measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,High-middle SDI,Male,All ages,Diabetes mellitus type 2,Number,1990,44000.68247326212,46843.17508550881,41471.290826982906
Deaths,High-middle SDI,Female,All ages,Diabetes mellitus type 2,Number,1990,65599.02352260666,69642.12681799967,60411.02865951691
Deaths,High-middle SDI,Both,All ages,Diabetes mellitus type 2,Number,1990,109599.70599586878,114811.49633144104,102848.75840518631
Deaths,High-middle SDI,Male,All ages,Diabetes mellitus type 2,Rate,1990,8.313729570489375,8.850805669222458,7.835812480503352
Deaths,High-middle SDI,Female,All ages,Diabetes mellitus type 2,Rate,1990,12.278047737296252,13.03478789289548,11.307020347415786
Deaths,High-middle SDI,Both,All ages,Diabetes mellitus type 2,Rate,1990,10.305255324714066,10.79530070958922,9.670488671157818
Deaths,High-middle SDI,Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,12.173697027132587,12.907068128080596,11.414203498293784
Deaths,High-middle SDI,Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,12.124399128502425,12.879254094301007,11.082752565202702
Deaths,High-middle SDI,Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,12.14148965096391,12.743144185300675,11.282770981194592
Deaths,Latin America and Caribbean,Male,All ages,Diabetes mellitus type 2,Number,1990,32299.09711746364,33117.39083130172,31255.264702699074
Deaths,Latin America and Caribbean,Female,All ages,Diabetes mellitus type 2,Number,1990,45276.33245571807,46693.28026888951,43157.59178533047
Deaths,Latin America and Caribbean,Both,All ages,Diabetes mellitus type 2,Number,1990,77575.42957318181,79556.36601461937,74424.65581242627
Deaths,Latin America and Caribbean,Male,All ages,Diabetes mellitus type 2,Rate,1990,16.742672836937935,17.16684642561406,16.201588219202748
Deaths,Latin America and Caribbean,Female,All ages,Diabetes mellitus type 2,Rate,1990,22.9443961508611,23.662453691901945,21.87069555177082
Deaths,Latin America and Caribbean,Both,All ages,Diabetes mellitus type 2,Rate,1990,19.878622573890276,20.38623546213158,19.07124009788748
Deaths,Latin America and Caribbean,Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,32.64028488204242,33.52592971076393,31.366833824624717
Deaths,Latin America and Caribbean,Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,42.140492403995836,43.525039518460055,39.866425955174684
Deaths,Latin America and Caribbean,Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,37.79772288468365,38.87952543561783,35.95514324509869
Deaths,Latin America and Caribbean,Male,All ages,Ischemic heart disease,Number,1990,144611.92043828775,147408.443865049,139601.93689409728
Deaths,Latin America and Caribbean,Female,All ages,Ischemic heart disease,Number,1990,113487.76274388283,117082.44399497431,106612.60815624817
Deaths,Latin America and Caribbean,Both,All ages,Ischemic heart disease,Number,1990,258099.68318217038,263824.80519553437,246250.39525322543
Deaths,Latin America and Caribbean,Male,All ages,Ischemic heart disease,Rate,1990,74.96154036177207,76.41115601650138,72.36454778659977
Deaths,Latin America and Caribbean,Female,All ages,Ischemic heart disease,Rate,1990,57.51146449896976,59.333118024943396,54.027386573457946
Deaths,Latin America and Caribbean,Both,All ages,Ischemic heart disease,Rate,1990,66.13777347605841,67.60482999536228,63.10140585547511
Deaths,Latin America and Caribbean,Male,Age-standardized,Ischemic heart disease,Rate,1990,155.87792865228283,159.55058989853725,148.652156238182
Deaths,Latin America and Caribbean,Female,Age-standardized,Ischemic heart disease,Rate,1990,115.73034879566427,119.98104637181004,107.45193573118792
Deaths,Latin America and Caribbean,Both,Age-standardized,Ischemic heart disease,Rate,1990,135.0489329146392,138.75819071915984,127.1023462903054
Deaths,Global,Male,All ages,Diabetes mellitus type 2,Number,1992,307072.6835655759,325012.44400415017,288529.78917780455
Deaths,Global,Female,All ages,Diabetes mellitus type 2,Number,1992,368416.45553979656,388869.91781845526,343278.4095242827
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,1992,675489.1391053726,708389.843071707,636662.2155245834
Deaths,Global,Male,All ages,Diabetes mellitus type 2,Rate,1992,11.085090058541168,11.732701750278585,10.415705690489537
Deaths,Global,Female,All ages,Diabetes mellitus type 2,Rate,1992,13.509626782246968,14.259643882825667,12.587828598159438
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Rate,1992,12.287859242492472,12.886357717024074,11.581556588371894
Deaths,Global,Male,Age-standardized,Diabetes mellitus type 2,Rate,1992,18.217316843013002,19.277557445577752,17.090413047110783
Deaths,Global,Female,Age-standardized,Diabetes mellitus type 2,Rate,1992,17.19659546120274,18.20549633060539,15.92473826405639
Deaths,Global,Both,Age-standardized,Diabetes mellitus type 2,Rate,1992,17.611070768574873,18.491235070641967,16.43435304917183
Deaths,Latin America and Caribbean,Male,All ages,Ischemic heart disease,Number,1992,148343.83209821358,151425.1652141917,143069.94821018787
Deaths,Latin America and Caribbean,Female,All ages,Ischemic heart disease,Number,1992,116961.07622062886,120728.59387754739,109477.82953822952
Deaths,Latin America and Caribbean,Both,All ages,Ischemic heart disease,Number,1992,265304.90831884276,271709.8347824149,253250.57691191992
Deaths,Latin America and Caribbean,Male,All ages,Ischemic heart disease,Rate,1992,74.13069394499928,75.67050425549421,71.49521751921931
Deaths,Latin America and Caribbean,Female,All ages,Ischemic heart disease,Rate,1992,57.04250817113906,58.8799455791558,53.392890932475765
Deaths,Latin America and Caribbean,Both,All ages,Ischemic heart disease,Rate,1992,65.48261881053216,67.063484241109,62.50736594567868
